indicatorcode,spatialdimtype,spatialdim,timedimtype,parentlocationcode,parentlocation,dim1type,timedim,dim1,dim2type,dim2,dim3type,dim3,datasourcedimtype,datasourcedim,value,numericvalue,low,high,comments,date,timedimensionvalue,timedimensionbegin,timedimensionend,who_id,country,year,indicator,snapshot_date,country_code,product_name,model_number,currency,price_local,sale_price_local,gender_segment,size_label,category,subcategory,product_id,sku,base_model_number,brand_name,color_name,size_count,size_labels,available_size_count,availability,availability_units,availability_status,in_stock,discount_pct,rating,rating_count,badge_texts,product_url,canonical_url,image_url,best_for_ids,seen_market_count,seen_markets,market_record_source,size_record_source
EMFLIMITELECTRICLF,COUNTRY,ITA,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)",2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,3042608,ITA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,GRC,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:28+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,535562,GRC,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,FRA,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:28+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,7239232,FRA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,AUT,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:26+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,117262,AUT,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,AUS,YEAR,WPR,Western Pacific,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"10 kV/m: continuous exposure during the working day; 10 - 30 kV/m: short term exposure permitted, provided the rms electric field strength (kV/m) times the duration of exposure (hrs) does not exceed 80 for the whole working day",2017-05-04T08:04:52+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,9792299,AUS,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,FIN,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,5 kV/m: limit for continuous exposure; 15 kV/m: limit for short-term exposure,2017-05-31T12:57:27+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,9298434,FIN,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,DEU,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,The prescribed limit applies to places where people are staying permanently with the AC-system operating at maximum capacity and taking into account immissions from other low frequency installations,2017-05-31T12:57:27+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,6862175,DEU,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,FRA,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFWORKER,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,"10 kV/m for low action levels, 20 kV/m for high action levels (DIRECTIVE 2013/35/EU)",2017-05-04T08:04:53+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,8749940,FRA,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,SWE,YEAR,EUR,Europe,EMFEXPOSED,2017,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2017-05-31T12:57:30+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00,9919387,SWE,2017,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMFLIMITELECTRICLF,COUNTRY,SGP,YEAR,WPR,Western Pacific,EMFEXPOSED,2018,EMFEXPOSED_EMFPUBLIC,EMFFREQUENCY,EMFFREQUENCY_EMFLOW,,,,,,,,,,2018-06-11T10:38:26+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00,7627853,SGP,2018,EMFLIMITELECTRICLF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
